block_size,ray_depth,num_spheres,implementation,run_count,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
256,50,203,REALISTIC,6,665.2883333333333,13.566666666666665,0.006666666666666668,13.566666666666665,13.573500000000001,0.030191833333333334,49.038630833333336,49.013922
256,75,200,OPENMP,3,656.6213333333334,656.6213333333334,0.0,656.6213333333334,656.6213333333334,0.0006236666666666668,1.0,1.0
256,75,200,GLOBAL,3,656.6213333333334,13.61,0.005333333333333333,13.61,13.615333333333334,0.030096,48.24599700000001,48.22797333333333
256,75,200,CONSTANT,3,656.6213333333334,12.511333333333335,0.03966666666666666,12.511333333333335,12.551,0.032737999999999996,52.48131733333333,52.31733233333333
256,75,200,SHARED,3,656.6213333333334,12.612666666666668,0.03966666666666666,12.612666666666668,12.652333333333331,0.032475333333333335,52.060564,51.898385
256,75,200,1D TEXTURE,3,656.6213333333334,13.555333333333335,0.004,13.555333333333335,13.559666666666667,0.030216666666666666,48.43947,48.42481366666667
256,75,200,2D TEXTURE,3,656.6213333333334,13.558666666666667,0.005999999999999999,13.558666666666667,13.565333333333333,0.030209,48.42756566666667,48.40549033333334
256,75,200,2D TEXTURE + CONSTANT,3,656.6213333333334,12.524333333333333,0.041,12.524333333333333,12.565666666666667,0.032704,52.426954,52.25571666666667
256,75,200,REALISTIC,3,656.6213333333334,13.568,0.006666666666666667,13.568,13.574333333333334,0.030188666666666666,48.39508933333334,48.37210833333333
256,100,200,OPENMP,3,656.311,656.311,0.0,656.311,656.311,0.000624,1.0,1.0
256,100,200,GLOBAL,3,656.311,13.657666666666666,0.005,13.657666666666666,13.662666666666667,0.02999033333333333,48.054054,48.03758633333334
256,100,200,CONSTANT,3,656.311,12.554333333333334,0.011999999999999999,12.554333333333334,12.566333333333333,0.032626666666666665,52.27816333333334,52.227233333333324
256,100,200,SHARED,3,656.311,12.630666666666668,0.011999999999999999,12.630666666666668,12.643,0.032429,51.96151966666667,51.91117966666667
256,100,200,1D TEXTURE,3,656.311,13.614666666666666,0.004,13.614666666666666,13.618666666666668,0.030086,48.20712066666667,48.19262166666667
256,100,200,2D TEXTURE,3,656.311,13.605666666666666,0.004,13.605666666666666,13.609666666666667,0.030106000000000004,48.23928,48.225280999999995
256,100,200,2D TEXTURE + CONSTANT,3,656.311,12.565333333333333,0.011999999999999999,12.565333333333333,12.577333333333334,0.03259733333333333,52.231196000000004,52.18089
256,100,200,REALISTIC,3,656.311,13.596000000000002,0.004,13.596000000000002,13.600333333333333,0.030127,48.27273566666667,48.257764333333334
512,50,200,OPENMP,3,656.3753333333334,656.3753333333334,0.0,656.3753333333334,656.3753333333334,0.000624,1.0,1.0
512,50,200,GLOBAL,3,656.3753333333334,15.308333333333335,0.005,15.308333333333335,15.313,0.026757,42.87720466666667,42.86399566666666
512,50,200,CONSTANT,3,656.3753333333334,14.094333333333333,0.010333333333333333,14.094333333333333,14.104666666666667,0.02906133333333333,46.570046,46.536030333333336
512,50,200,SHARED,3,656.3753333333334,14.108333333333334,0.010333333333333333,14.108333333333334,14.118666666666668,0.029032666666666665,46.52371133333333,46.489793
512,50,200,1D TEXTURE,3,656.3753333333334,15.256,0.004,15.256,15.26,0.026849,43.024972,43.013287
512,50,200,2D TEXTURE,3,656.3753333333334,15.251333333333335,0.004333333333333334,15.251333333333335,15.255666666666665,0.026857000000000002,43.03771733333334,43.025437333333336
512,50,200,2D TEXTURE + CONSTANT,3,656.3753333333334,14.091333333333333,0.01,14.091333333333333,14.101666666666667,0.029067,46.579634999999996,46.54620633333334
512,50,200,REALISTIC,3,656.3753333333334,15.280666666666667,0.004,15.280666666666667,15.285333333333334,0.026804333333333333,42.95392233333333,42.94193266666667
1024,50,200,OPENMP,3,656.3593333333333,656.3593333333333,0.0,656.3593333333333,656.3593333333333,0.000624,1.0,1.0
