date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2026-05-14_09-42-08,512,50,200,64,GLOBAL,656.644,11.957,0.007,11.957,11.964,0.034255,54.915620,54.884377
2026-05-14_09-42-08,512,50,200,64,CONSTANT,656.644,11.717,0.019,11.717,11.736,0.034958,56.042338,55.952899
2026-05-14_09-42-08,512,50,200,64,SHARED,656.644,12.978,0.019,12.978,12.996,0.031562,50.598385,50.525456
2026-05-14_09-42-08,512,50,200,64,1D TEXTURE,656.644,11.894,0.004,11.894,11.898,0.034437,55.207005,55.188059
2026-05-14_09-42-08,512,50,200,64,2D TEXTURE,656.644,11.844,0.004,11.844,11.849,0.034582,55.438837,55.419228
2026-05-14_09-42-08,512,50,200,64,2D TEXTURE + CONSTANT,656.644,11.789,0.016,11.789,11.805,0.034745,55.701481,55.623680
2026-05-14_09-42-08,512,50,200,64,REALISTIC,656.644,11.920,0.004,11.920,11.924,0.034362,55.086285,55.068138
2026-05-14_09-54-30,512,50,200,128,OPENMP,656.170,656.170,0.000,656.170,656.170,0.000624,1.000000,1.000000
2026-05-14_09-54-30,512,50,200,128,GLOBAL,656.170,12.242,0.008,12.242,12.250,0.033458,53.599377,53.564821
2026-05-14_09-54-30,512,50,200,128,CONSTANT,656.170,11.821,0.017,11.821,11.838,0.034650,55.509138,55.430654
2026-05-14_09-54-30,512,50,200,128,SHARED,656.170,12.036,0.017,12.036,12.053,0.034032,54.517776,54.442176
2026-05-14_09-54-30,512,50,200,128,1D TEXTURE,656.170,12.236,0.004,12.236,12.240,0.033475,53.626469,53.608467
2026-05-14_09-54-30,512,50,200,128,2D TEXTURE,656.170,12.188,0.004,12.188,12.193,0.033606,53.835638,53.817054
2026-05-14_09-54-30,512,50,200,128,2D TEXTURE + CONSTANT,656.170,11.826,0.013,11.826,11.840,0.034635,55.484138,55.421273
2026-05-14_09-54-30,512,50,200,128,REALISTIC,656.170,12.216,0.004,12.216,12.220,0.033529,53.713107,53.695716
2026-05-14_10-06-52,512,50,200,128,OPENMP,656.234,656.234,0.000,656.234,656.234,0.000624,1.000000,1.000000
